name,institution,course_url,course_id,reviews,reviewers,date_reviews,rating,count of words,University,month,year,mth-year,year-month,language
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,Excellent course. Congratulations to the entire Coursera team for the quality of work. Thank you for making this course available. ,By Diailison T d C,2019-09-21,5.0,17,Business est,9,2019,Sep-2019,2019-09,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,This course is excellent. The teacher's didactics is wonderful !! I was very satisfied and soon I will do Part 2 as well. ,By Natalia C L T,2018-06-20,5.0,21,Business est,6,2018,Jun-2018,2018-06,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,Great course! With a teacher who dominates the subject and knows how to translate his teachings into a simple and fun language! ,By Anderson d R G,2017-08-23,5.0,20,Business est,8,2017,Aug-2017,2017-08,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,Excellent course for those who wish to learn from zero the Python language. Pretty practical activities and challenges! :) ,By Beatriz P J,2020-07-19,5.0,18,Business est,7,2020,Jul-2020,2020-07,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"I recommend this course, it is very didactic and intuitive, for people who want to start in the world of data science ",By Miguel A F A,2020-06-05,5.0,21,Business est,6,2020,Jun-2020,2020-06,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"Great introductory level course, I arrived without knowing anything about programming and learned what the contest proposes without problems. ",By Henrique C V D H B,2020-04-06,5.0,20,Business est,4,2020,Apr-2020,2020-04,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,I am super satisfied with the course and with the generosity and altruism of the people who have idealed it. Congratulations!!! Success!!! ,By Edson G J,2017-10-31,5.0,18,Business est,10,2017,Oct-2017,2017-10,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,I am a student of ADS and this course helped and helps a lot in the development of learning logic and also ,By Mateus F Z,2019-01-21,5.0,21,Business est,1,2019,Jan-2019,2019-01,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,A very good course that allows you to acquire a lot of knowledge about the principles of Python programming language. ,By Denis O,2018-07-14,5.0,19,Business est,7,2018,Jul-2018,2018-07,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,Excellent course. The teaching of the lessons and the proposed exercises are excellent for a quick and fun learning. ,By Carolina T P B,2020-03-16,5.0,18,Business est,3,2020,Mar-2020,2020-03,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,The course was great for reviewing the language the exercises are well elaborated to practice the content given in each class. ,By Jennifer K,2019-05-25,5.0,21,Business est,5,2019,May-2019,2019-05,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"Excellent course, quite didactic and with very interesting examples of applications, I recommend to all interested ones! ",By Helio V C d S,2020-07-03,5.0,19,Business est,7,2020,Jul-2020,2020-07,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,Excellent course for beginners. They should only flexibilize delivery times because each one has a routine and his own rhythm. ,By Israel L H D,2020-01-13,5.0,20,Business est,1,2020,Jan-2020,2020-01,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,!!! Excellent course !!! Travel with well-prepared content to guide the beginner in a logical thought of programming. ,By Marcos B,2018-02-08,5.0,18,Business est,2,2018,Feb-2018,2018-02,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"A very good course for people like me who did not know anything about programming in Python, great didactics, super recommend! ",By RONALD C B,2020-09-07,5.0,20,Business est,9,2020,Sep-2020,2020-09,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,It was really cool to have done this course I learned a lot from the program using Python and test the programs he was doing. ,By Thiago D B,2019-02-21,5.0,20,Business est,2,2019,Feb-2019,2019-02,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"The course was very well conducted, allying the theory to practice. Congratulations to the teachers, I learned a lot from this course. ",By Marcelo C H,2020-03-14,5.0,19,Business est,3,2020,Mar-2020,2020-03,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"Dear (s), the course is excellent. It has a great didactics, as well as providing facilitated learning. Congratulations. ",By Alessandre F E P,2019-09-02,5.0,15,Business est,9,2019,Sep-2019,2019-09,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"Very good. For those who did not know anything of Python, like me, I left the course to be able to schedule the basics without difficulties ",By Paulo A B R,2019-07-04,5.0,21,Business est,7,2019,Jul-2019,2019-07,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"I loved the course, first contact me with programming, super savvy and indicate everyone! Thank you PROFS and colleagues. ",By João V B,2020-04-02,5.0,18,Business est,4,2020,Apr-2020,2020-04,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"A wonderful course, gave me a great base to learn Python, I will be preparing for part 2 of this course ",By Marcos d M M,2020-09-06,5.0,20,Business est,9,2020,Sep-2020,2020-09,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"The course is very good, I learned a lot, it's only a shame that the certificate is inaccessible to my reality. ",By João P L,2020-08-20,5.0,21,Business est,8,2020,Aug-2020,2020-08,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"A well explained course. Useful for learning logic programming, as well as the essential base of Python language. ",By Lucas D B,2019-05-05,5.0,18,Business est,5,2019,May-2019,2019-05,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"Very good course, incredible teachers, explain very well and with very cool exercises to always practice. ",By Gustavo M,2019-10-04,5.0,17,Business est,10,2019,Oct-2019,2019-10,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"Great course, complete and with learning level easy to understand, teacher is to be congratulated for didactics! ",By jamerson r s l,2017-10-17,5.0,18,Business est,10,2017,Oct-2017,2017-10,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"The course is well didactic, even those who have no experience with programming can accompany classes and learn. ",By John W A,2020-01-07,5.0,18,Business est,1,2020,Jan-2020,2020-01,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,Very good course! What I liked the most in class were practices. Each practice is a challenge and a lot of learning! ,By Aline O d M,2020-08-25,5.0,21,Business est,8,2020,Aug-2020,2020-08,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"The course is very good, already had a notion of programming but the course even so added much knowledge. ",By Bruno L,2020-07-20,5.0,21,Business est,7,2020,Jul-2020,2020-07,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,Good course for beginners. The course challenges you with exercises and the teacher is objective in the themes studied. ,By Ranyell H,2019-08-22,5.0,19,Business est,8,2019,Aug-2019,2019-08,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,Great! I started the course without knowing anything about programming and I ended up able to write some programs. ,By Felipe N V,2017-03-01,5.0,16,Business est,3,2017,Mar-2017,2017-03,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"Excellent course, opened the mind and exercises were the most striking moments in the learning process !! ",By JOSÉ S D S,2020-09-23,5.0,17,Business est,9,2020,Sep-2020,2020-09,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"Great course, I'm really learning to program with this course ... teachers who teach coolly! ",By Fabio S d N,2019-02-24,5.0,15,Business est,2,2019,Feb-2019,2019-02,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,I found the methodology of the course very coherent; They used all possible resources for my learning. ,By Clarissa D A,2020-05-12,5.0,16,Business est,5,2020,May-2020,2020-05,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,Pulbian University forever! Thanks for this course. Congratulations teacher for didactics and methodology. ,By Deleted A,2019-11-23,5.0,15,Business est,11,2019,Nov-2019,2019-11,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"I really liked the course and I hope you have a continuity, because I still have a lot to learn. Grateful ",By RAFAEL O L J,2019-01-08,5.0,19,Business est,1,2019,Jan-2019,2019-01,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,Great course !!! I really enjoyed the didactics and travel exposure. Even more of the proposed exercises !!!! ,By Emilia M N,2018-04-18,5.0,15,Business est,4,2018,Apr-2018,2018-04,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"Very good course, clear and didactic explanation, perfect for those who are starting in the programming world! ",By Yan T d O,2020-09-07,5.0,17,Business est,9,2020,Sep-2020,2020-09,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"Great course I learned and revised several subjects, I intend to do other courses to expand the knowledge. ",By marcone t d s,2020-07-27,5.0,15,Business est,7,2020,Jul-2020,2020-07,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,One of the most important courses for anyone who wants to learn how to program. Congratulations and thank you for the opportunity. ,By sereno r d m e,2020-06-22,5.0,17,Business est,6,2020,Jun-2020,2020-06,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"Hello, the course actually starts from scratch, but in a simple and harmonic way, it happens a great learning !!! ",By Leydson G D,2019-08-29,5.0,18,Business est,8,2019,Aug-2019,2019-08,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,Great introductory course for Python language; NECESSITIES NEWS FOR PROGRAMMING Logic ,By Leandro A,2016-12-28,5.0,14,Business est,12,2016,Dec-2016,2016-12,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"Great course, the content is fully complete, even though I have already studied about Python I saw a lot of new things here. ",By Elias T d S,2020-09-28,5.0,19,Business est,9,2020,Sep-2020,2020-09,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"So far, the course is taught rather didactics, with great clarity and objectivity. Congratulations! ",By Edmar d F N d R A,2020-02-18,5.0,16,Business est,2,2020,Feb-2020,2020-02,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"Very good course, I will take this learning for a lifetime, the teachers are not even talked about. ",By Daniel A d S,2019-09-28,5.0,20,Business est,9,2019,Sep-2019,2019-09,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"Excellent course mainly for those who are starting, optimal didactics and exercises with varied levels. ",By MICHAEL F A,2019-09-25,5.0,14,Business est,9,2019,Sep-2019,2019-09,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"Excellent course. We see questions such as refactoring, debug and automated tests as part of learning. ",By Paulo E,2019-08-23,5.0,14,Business est,8,2019,Aug-2019,2019-08,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"The course is quite didactic and activities reinforce content to improve learning, I recommend! ",By Thiago A d M,2020-07-21,5.0,16,Business est,7,2020,Jul-2020,2020-07,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,Thanks USP friends! I liked the course and give 5 stars to the contents and challenges! I will do part 2. ,By Paulo C Z V,2020-01-05,5.0,21,Business est,1,2020,Jan-2020,2020-01,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,Excellent course and didactics. Interesting for those who already know how to schedule and want to learn more a language. ,By Vinicius T d P A,2019-11-10,5.0,16,Business est,11,2019,Nov-2019,2019-11,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"Great course! Thank you for teacher Fábio and teachers who helped me in the forums. Bishops, Belkis. ",By belkis f d o,2019-01-06,5.0,14,Business est,1,2019,Jan-2019,2019-01,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"Course of excellent quality, congratulations to Professor Fábio and every team of USP-IME for the great course! ",By Mateus A,2020-07-16,5.0,17,Business est,7,2020,Jul-2020,2020-07,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,"A very good course, worth just, just have patience to stay in front of the computer and practice. ",By Williams C d J,2018-04-12,5.0,19,Business est,4,2018,Apr-2018,2018-04,en
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,ciencia-computacao-python-conceitos,Great course! Exercises are fantastic to fix the matter and the instructor is also excellent. ,By Vivian F,2020-07-26,5.0,16,Business est,7,2020,Jul-2020,2020-07,en
