name,institution,course_url,course_id,reviews,reviewers,date_reviews,rating,count of words,University,month,year,mth-year,year-month,language
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,"This course is really very practical, the way in which the different topics explain using examples that facilitate the understanding of this. I help me a lot now that I am in the process of stopping consuming food of animal origin, since before it did not do it completely because I believed that this animal source was fundamental for us when it is not really, I also organized my diet much better. ",By Luisa F P G ,2020-05-11,5.0,69,University,5,2020,May-2020,2020-05,en
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,"Very happy for the content of the course, I provided a broad look on the choice of food, their nutritional value and know more deeply on refined products, their components and their low contribution for healthy eating. Very interesting to acquire as much information about the correct reading of labels and the revaluation of cooking at home. Thanks a lot!!! ",By Liliana B,2020-06-19,5.0,60,University,6,2020,Jun-2020,2020-06,en
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,"Although it is an initiation course, very very interesting topics are touched that help you better understand how to lead a healthy lifestyle and proper diet that lasts over time. Totally recommended whether you already have a level in the dietary issue as if you have no idea about it. Simple to understand, directly and a lot to get juice and learn. Thanks a lot. ",By Carolina M,2020-06-01,5.0,66,University,6,2020,Jun-2020,2020-06,en
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,"A very interesting course, videos are subtitled to Spanish, but not the test, although I think that this is not a serious problem, since it is a simple vocabulary to understand. So, if someone does not dominate English, I recommend that you do not worry and do the course, because you will not find a great difficulty and it will bring you good knowledge. ",By Ariadna R G,2018-08-27,5.0,67,University,8,2018,Aug-2018,2018-08,en
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,"Excellent course I love !! It is really important to see it to introduce ourselves into the necessary care of our health that begins with the maintenance of it and the prevention of diseases, and the best way to do so is through nutrition. In short, I highly recommend this course that addresses super important aspects in the margin of nutrition. ",By Judith S B,2016-02-05,5.0,62,University,2,2016,Feb-2016,2016-02,en
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,"Great. In these moments I am a little bad health and this course fell as fallen from heaven, thank you, who did it, whom Maya thought about it, the person I met through this video.Benditions for each of each You and receive a cordial hug also for each of you wonderful team, which you share for the health of millions of people. ",By Josè H V ,2018-12-04,5.0,67,University,12,2018,Dec-2018,2018-12,en
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,"I really liked the course, it is very explanatory and clear. I like the emphasis on simple solutions, but they are backed by science. I learned more about how different food groups work and how much we need each of them. I learned practical and realistic advice on how to stay healthy and make better decisions. ",By Barbara K,2017-04-08,5.0,54,University,4,2017,Apr-2017,2017-04,en
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,"Extremely interesting course. I feel the material and the videos were very easy to absorb and understand. I would certainly recommend this to anyone interested in food and how it affects our health. Despite waiting for some deeper approaches, the course is ideal for those who are starting in this area. ",By Cleudiane P d A,2020-07-01,5.0,56,University,7,2020,Jul-2020,2020-07,en
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,"A spectacular course, full of tools, tips and explanations around the issue of nutrition and health that are very easy and fast to understand. It also provides a knowledge that can be applied to daily life, helping to improve decision making at the time of feeding and merging. ",By Juliana G L,2019-01-18,5.0,51,University,1,2019,Jan-2019,2019-01,en
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,"It is a basic but very complete course, an introductory trip with essential tips to improve lifestyles and approach healthier options. I comforted to know that I am on the right track in my relationship with food without falling into potential purchases of organic food and that they cost more money. ",By JHEZICA A B,2020-05-03,5.0,52,University,5,2020,May-2020,2020-05,en
