Id,SalePrice
2658,175905.0805787978
2718,179504.67135344673
2414,222017.15654940583
1989,116636.60591076313
625,173536.01225152388
333,99779.53980827561
1327,93662.30149510248
858,138386.99092840278
95,204099.71698761746
1568,163792.5082552789
2482,168966.4308775518
1364,115646.11987162945
2584,142369.5122549754
818,287961.90606206027
2673,158618.89342173171
2089,108262.14293600744
1297,172900.61008485465
790,110436.65487079934
2616,202930.5982314232
720,212712.893560494
222,124930.70926364168
557,123882.6177307922
1148,199565.61635898688
2766,144696.7476140184
534,185502.7027344382
1452,113253.2762696539
630,112403.92595588841
2648,121302.0010115931
125,157531.85758263944
1904,32466.790018216998
1670,102640.3362826499
756,96767.03365828961
717,257931.81351092266
1032,155763.79277059002
852,207866.81451938974
1731,184743.4117206925
2639,126893.3111825359
2071,59567.33655706291
1267,110193.2786923841
1851,188399.6780151736
567,182865.15864090013
2439,209672.39023621136
1898,144830.76471438858
647,170428.00417111552
2256,240745.22004205556
979,97987.72105210178
1444,230187.3024178059
2485,111366.52386115599
157,109954.95608679857
88,125081.02181480994
2003,108599.02448289726
186,239198.7995256293
1425,237442.48537008784
2695,116336.82118063592
738,109304.47184668889
395,147676.7779717559
1353,178123.84732676283
1878,137151.33264459734
390,165527.9836003447
1456,244510.58093748856
1103,328485.62683382607
1387,135245.87091698902
2070,131100.09103644895
1199,191372.42340451066
2479,188833.4260266129
501,290541.14199797227
2362,79136.94291540452
1718,211501.91623906646
2188,54838.418754441256
1483,158548.74594277536
2557,63369.589804114104
437,317017.8768545226
2224,186163.68925448233
1628,175359.08056008167
397,135959.8468490092
587,200240.19688237458
2182,610909.2967399665
971,126206.59647019285
2611,149539.40167229375
1887,83970.58537398414
2399,338808.2893058754
2148,199755.81271467244
304,116659.65928479239
1997,128267.78930863604
2817,111377.8173525143
1431,177775.8066971574
427,335355.48648569954
263,115079.38834498453
598,188306.50377332018
2895,249773.4492421813
687,156198.36683388194
1822,124279.95575986657
2191,100097.21083149845
179,126207.99897035467
1009,207903.10420550234
2010,120032.16045043942
1991,149579.90706907344
1411,167966.59378348684
1721,222601.21977799293
1144,203639.1987918281
593,235676.820766966
575,319713.4419890325
1249,177696.92475868698
1604,114139.78670677534
1064,432299.6889142955
1923,157135.98751357343
1988,103147.43396105074
2325,166813.11663581856
114,205017.58032134283
2700,191359.2380391004
217,161051.875179033
343,192691.3036810188
386,229882.34232121272
2005,103198.9414406015
2908,110604.31523685885
1814,240001.38669991947
2446,470673.0787972171
208,155625.75017578204
1679,126479.27231945626
822,317226.69365137635
6,184562.55891602533
1781,406290.4895840578
2397,290869.17808490526
2340,284101.4891812244
1618,158716.3682362838
2843,170408.46431675463
1061,338473.4250531786
2786,110487.7471032305
1935,123598.28421651154
1341,108004.25478594721
521,245475.55520953608
2136,122794.64706893152
996,187323.6171388899
227,134836.79815145483
135,173790.28370669068
1167,177107.058917669
294,248212.28657890955
1776,221503.00781117633
540,170726.4811046005
1717,229337.16749271387
2303,115988.38516297488
116,190462.69657352573
127,105970.49368334404
1371,129736.56880419044
1014,136016.20035379395
1507,92950.87320011393
702,166183.48912318927
750,160515.2599820205
261,160644.12465380275
1559,62087.96638423533
577,217190.12301148812
2812,204643.62204150527
2080,168234.9580259111
1368,110758.40751248569
2376,113093.12983661918
659,106573.55120588343
1235,144393.6123377441
332,70952.28230414144
1917,141049.0865014721
2094,240282.82358843955
1460,277347.4564793854
1471,199434.43864050164
1509,116090.03868575144
1922,123568.63004984878
433,440800.9876262052
460,260084.6241412203
1116,221026.33213482663
